Test_ID,fold
TRN-0889,2
TRN-0820,0
TRN-0411,4
TRN-0754,1
TRN-0707,2
TRN-0140,3
TRN-0881,1
TRN-0381,4
TRN-0095,2
TRN-0135,2
TRN-0633,4
TRN-0138,0
TRN-0591,3
TRN-0262,3
TRN-0729,1
TRN-0307,0
TRN-0091,3
TRN-0542,2
TRN-0937,0
TRN-0092,3
TRN-0268,3
TRN-0782,0
TRN-0919,4
TRN-0053,0
TRN-0408,0
TRN-0501,0
TRN-0311,4
TRN-0562,3
TRN-0126,1
TRN-0676,2
TRN-0360,1
TRN-0367,0
TRN-0405,3
TRN-0868,4
TRN-0020,4
TRN-0316,2
TRN-0067,4
TRN-0317,0
TRN-0087,0
TRN-0801,4
TRN-0012,2
TRN-0578,3
TRN-0859,4
TRN-0533,4
TRN-0967,3
TRN-0788,3
TRN-0700,2
TRN-0151,2
TRN-0236,4
TRN-0130,1
TRN-0558,2
TRN-0335,3
TRN-0747,4
TRN-0065,4
TRN-0257,0
TRN-0443,0
TRN-0507,1
TRN-0943,2
TRN-0438,3
TRN-0323,2
TRN-0541,0
TRN-0513,1
TRN-0830,0
TRN-0124,2
TRN-0434,4
TRN-0742,0
TRN-0351,3
TRN-0736,0
TRN-0518,1
TRN-0097,1
TRN-0220,4
TRN-0713,2
TRN-0890,1
TRN-0531,4
TRN-0369,3
TRN-0781,3
TRN-0928,2
TRN-0194,1
TRN-0743,0
TRN-0294,0
TRN-0304,4
TRN-0382,4
TRN-0417,3
TRN-0297,0
TRN-0622,4
TRN-0563,3
TRN-0920,0
TRN-0568,0
TRN-0227,1
TRN-0581,2
TRN-0320,0
TRN-0167,1
TRN-0450,0
TRN-0287,2
TRN-0650,3
TRN-0901,1
TRN-0031,2
TRN-0199,1
TRN-0630,1
TRN-0605,4
TRN-0704,0
TRN-0614,2
TRN-0315,2
TRN-0018,0
TRN-0669,3
TRN-0168,1
TRN-0397,0
TRN-0324,4
TRN-0154,1
TRN-0666,4
TRN-0826,3
TRN-0131,4
TRN-0206,1
TRN-0641,0
TRN-0478,0
TRN-0026,2
TRN-0363,1
TRN-0430,1
TRN-0936,2
TRN-0129,3
TRN-0688,4
TRN-0157,0
TRN-0422,2
TRN-0561,0
TRN-0281,3
TRN-0108,0
TRN-0332,0
TRN-0185,2
TRN-0746,1
TRN-0656,0
TRN-0270,0
TRN-0462,0
TRN-0245,4
TRN-0986,1
TRN-0905,2
TRN-0355,4
TRN-0684,1
TRN-0433,0
TRN-0205,4
TRN-0806,4
TRN-0177,4
TRN-0744,1
TRN-0295,3
TRN-0948,1
TRN-0844,1
TRN-0035,3
TRN-0971,4
TRN-0455,2
TRN-0792,1
TRN-0662,1
TRN-0266,2
TRN-0326,0
TRN-0173,2
TRN-0473,4
TRN-0759,2
