Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0278,33.30935485434922,Invalid
TST-0006,18.56982641476512,Valid
TST-0047,62.12606115627124,Valid
TST-0311,25.370371303943674,Valid
TST-0264,18.00097458702363,Invalid
TST-0169,20.670437972196748,Valid
TST-0269,18.34009630226862,Valid
TST-0178,13.929036150450196,Invalid
TST-0206,32.02411807943438,Valid
TST-0038,17.851531459751552,Valid
TST-0213,14.353043465698924,Invalid
TST-0309,16.336481861015326,Valid
TST-0059,33.12517380420119,Valid
TST-0159,19.152698321444664,Valid
TST-0235,19.717010239928516,Valid
TST-0230,21.282544820683494,Valid
TST-0323,36.662054905717426,Valid
TST-0262,17.99860126479233,Valid
TST-0274,13.814572239693927,Valid
TST-0214,49.111600555316606,Valid
TST-0024,40.253718878202974,Valid
TST-0234,17.351863282385317,Valid
TST-0333,21.99185979115087,Valid
TST-0060,20.339069262354297,Valid
TST-0226,36.245525937301025,Valid
TST-0197,16.851357724839346,Valid
TST-0346,41.61120450497856,Valid
TST-0192,26.56744411880975,Valid
TST-0141,29.35113729554112,Valid
TST-0222,38.54462329762118,Invalid
TST-0232,19.210517902816488,Valid
TST-0085,23.71454035834578,Valid
TST-0237,32.774388624195446,Valid
TST-0001,37.906658534747876,Valid
TST-0069,17.19978710319044,Valid
TST-0272,23.38614032964209,Valid
TST-0343,33.37179397139133,Valid
TST-0320,27.158734823635186,Valid
TST-0008,29.990869733699782,Invalid
TST-0144,23.23971906504893,Valid
TST-0184,22.40410636984928,Valid
TST-0107,59.70215044098008,Valid
TST-0026,41.8832212624721,Valid
TST-0164,42.59416511228801,Valid
TST-0217,32.05119938009149,Valid
TST-0332,31.228598050185923,Invalid
TST-0279,23.472295897064797,Valid
TST-0243,18.81936988230291,Valid
TST-0163,21.15216200858982,Valid
TST-0131,29.102844462462812,Valid
TST-0070,16.04065529380862,Valid
TST-0137,19.548122900153047,Valid
TST-0210,30.04304971285147,Valid
TST-0288,20.483921943768877,Valid
TST-0248,18.444191141442303,Valid
TST-0277,22.03020038433635,Invalid
TST-0215,21.66895070477848,Valid
TST-0138,16.297779579324136,Valid
TST-0228,17.42448452449167,Valid
TST-0252,48.51684562594437,Valid
TST-0205,29.593565247566527,Valid
TST-0348,22.446709163654894,Valid
TST-0177,23.28897277718931,Valid
TST-0267,37.492812461249954,Valid
TST-0308,23.29958546275438,Valid
TST-0087,42.1690741183895,Invalid
TST-0117,16.64334574580282,Valid
TST-0014,17.982936702117506,Valid
TST-0154,25.242963749164367,Valid
TST-0207,47.54349661581021,Valid
TST-0187,21.512231284315163,Valid
TST-0236,21.075388427942563,Valid
TST-0283,40.62520031454292,Invalid
TST-0089,18.254424208438046,Valid
TST-0202,22.22669789862014,Valid
TST-0160,18.099160669404714,Valid
TST-0036,25.581252495278207,Valid
TST-0275,47.91111428634814,Valid
TST-0023,34.59194335928653,Valid
TST-0091,43.13899284238233,Valid
TST-0151,43.87992726239461,Valid
TST-0310,23.118441338992756,Valid
TST-0239,14.504180569946982,Valid
TST-0331,32.429801043979275,Valid
TST-0316,13.408641868755101,Invalid
TST-0338,14.392395400620153,Valid
TST-0019,19.77178370222311,Valid
TST-0168,13.722567994202628,Invalid
TST-0007,18.278447256703977,Valid
TST-0211,32.1266762207353,Valid
TST-0016,35.704801808389234,Valid
TST-0027,19.807484113244076,Invalid
TST-0031,16.703141788575927,Invalid
TST-0249,28.073363066276965,Valid
TST-0011,16.186191933238266,Valid
TST-0080,22.83852060645074,Invalid
TST-0121,16.119220660888345,Valid
TST-0266,19.72742351283908,Valid
TST-0198,22.447362131054902,Valid
TST-0067,31.435500635494506,Valid
TST-0102,21.49128695213813,Valid
TST-0005,37.35237794640322,Valid
TST-0003,28.938696785216905,Valid
TST-0132,44.56606506804346,Valid
