rank,task,model,feature_set,precision,recall,f1,macro_f1,bal_acc,roc_auc,pr_auc,mcc,mae,rmse,r2,median_ae,max_error,fold_std,worst_fold
1.0,classification,HistGB,all_raw,0.9524,0.4478,0.6091,0.7832,0.7221,0.8636,0.7467,0.6229,,,,,,,
2.0,classification,RF,all_raw,0.9074,0.3657,0.5213,0.7358,0.6799,0.8711,0.6945,0.5424,,,,,,,
3.0,classification,ExtraTrees,all_raw,1.0,0.2537,0.4048,0.6751,0.6269,0.8712,0.7911,0.4769,,,,,,,
4.0,classification,LogReg,all_raw,0.1166,0.3881,0.1793,0.422,0.4665,0.5665,0.1414,-0.0459,,,,,,,
5.0,classification,Dummy,all_raw,0.0,0.0,0.0,0.4641,0.5,0.5,0.134,0.0,,,,,,,
1.0,classification,LogReg,raw_operating,0.1329,0.4851,0.2087,0.4253,0.4977,0.5155,0.1268,-0.0031,,,,,,,
2.0,classification,RF,raw_operating,0.1379,0.0597,0.0833,0.493,0.501,0.5013,0.135,0.0029,,,,,,,
3.0,classification,ExtraTrees,raw_operating,0.1667,0.0075,0.0143,0.47,0.5008,0.5047,0.1303,0.0075,,,,,,,
4.0,classification,HistGB,raw_operating,0.0286,0.0075,0.0118,0.4603,0.4841,0.5073,0.1328,-0.0589,,,,,,,
5.0,classification,Dummy,raw_operating,0.0,0.0,0.0,0.4641,0.5,0.5,0.134,0.0,,,,,,,
1.0,classification,ExtraTrees,sensor_consistency,1.0,0.9478,0.9732,0.9846,0.9739,1.0,1.0,0.9696,,,,,,,
2.0,classification,RF,sensor_consistency,0.9922,0.9478,0.9695,0.9824,0.9733,0.9991,0.9948,0.9652,,,,,,,
3.0,classification,HistGB,sensor_consistency,0.991,0.8209,0.898,0.9419,0.9099,0.9228,0.9125,0.8889,,,,,,,
4.0,classification,LogReg,sensor_consistency,0.8786,0.9179,0.8978,0.9408,0.9491,0.9758,0.9582,0.8819,,,,,,,
5.0,classification,Dummy,sensor_consistency,0.0,0.0,0.0,0.4641,0.5,0.5,0.134,0.0,,,,,,,
1.0,regression,ExtraTrees,all_raw,,,,,,,,,0.5962,1.1694,0.9881,0.3552,13.625,0.064,0.699
2.0,regression,HistGBR,all_raw,,,,,,,,,0.6345,1.0827,0.9898,0.3941,9.7546,0.0394,0.7088
3.0,regression,RF,all_raw,,,,,,,,,0.7317,1.2936,0.9855,0.4137,13.1268,0.1247,0.9034
4.0,regression,SVR,all_raw,,,,,,,,,0.9043,1.427,0.9823,0.5642,10.1499,0.0787,0.9793
5.0,regression,Huber,all_raw,,,,,,,,,3.2599,4.0299,0.8591,2.8004,14.4153,0.0584,3.3418
6.0,regression,ElasticNet,all_raw,,,,,,,,,3.3474,3.9574,0.8642,3.244,13.0759,0.0909,3.5035
7.0,regression,Ridge,all_raw,,,,,,,,,3.35,3.9508,0.8646,3.2152,12.9489,0.0817,3.4859
8.0,regression,Dummy,all_raw,,,,,,,,,8.4821,11.3636,-0.1201,6.1384,38.6235,0.4876,9.0847
1.0,regression,ExtraTrees,poly4_operating,,,,,,,,,0.4736,0.9529,0.9921,0.286,9.4889,0.0613,0.5578
2.0,regression,Huber,poly4_operating,,,,,,,,,0.5568,0.8293,0.994,0.3653,5.7899,0.042,0.6039
3.0,regression,HistGBR,poly4_operating,,,,,,,,,0.5782,0.9545,0.9921,0.3672,9.6004,0.0835,0.671
4.0,regression,Ridge,poly4_operating,,,,,,,,,0.6196,0.8926,0.9931,0.4271,7.2265,0.0365,0.6844
5.0,regression,RF,poly4_operating,,,,,,,,,0.6512,1.1929,0.9877,0.3881,11.7877,0.0573,0.7294
6.0,regression,SVR,poly4_operating,,,,,,,,,0.6645,1.1079,0.9894,0.3961,11.7538,0.0542,0.7493
7.0,regression,ElasticNet,poly4_operating,,,,,,,,,0.8386,1.1783,0.988,0.6726,10.401,0.0513,0.9297
8.0,regression,Dummy,poly4_operating,,,,,,,,,8.4821,11.3636,-0.1201,6.1384,38.6235,0.4876,9.0847
1.0,regression,ExtraTrees,raw_operating,,,,,,,,,0.5895,1.1226,0.9891,0.3875,12.9639,0.0779,0.6985
2.0,regression,HistGBR,raw_operating,,,,,,,,,0.6716,1.1598,0.9883,0.4603,10.7624,0.0457,0.7315
3.0,regression,SVR,raw_operating,,,,,,,,,0.7688,1.187,0.9878,0.49,8.4065,0.0432,0.8173
4.0,regression,RF,raw_operating,,,,,,,,,0.7841,1.3213,0.9849,0.5268,13.1217,0.1025,0.9456
5.0,regression,Huber,raw_operating,,,,,,,,,3.2644,4.0488,0.8578,2.7972,14.7908,0.0658,3.3563
6.0,regression,ElasticNet,raw_operating,,,,,,,,,3.3569,3.9638,0.8637,3.2443,13.5138,0.0872,3.5068
7.0,regression,Ridge,raw_operating,,,,,,,,,3.357,3.9638,0.8637,3.2487,13.4798,0.0878,3.5082
8.0,regression,Dummy,raw_operating,,,,,,,,,8.4821,11.3636,-0.1201,6.1384,38.6235,0.4876,9.0847
,ablation,HistGBR(all_rows),raw_operating,,,,,,,,,0.8758,2.0981,0.9615,0.5054,30.4108,0.0468,0.9178
,ablation,HistGBR(valid_only),raw_operating,,,,,,,,,0.6716,1.1598,0.9883,0.4603,10.7624,0.0457,0.7315
,ablation,HistGBR(with_S4),all_raw,,,,,,,,,0.6345,1.0827,0.9898,0.3941,9.7546,0.0394,0.7088
,ablation,HistGBR(without_S4),all_raw,,,,,,,,,0.6232,1.0661,0.9901,0.4008,10.0221,0.0318,0.6835
,ablation,HistGBR(with_Duration),raw_operating,,,,,,,,,0.6716,1.1598,0.9883,0.4603,10.7624,0.0457,0.7315
,ablation,HistGBR(no_Duration),raw_operating,,,,,,,,,0.7198,1.1833,0.9879,0.5349,11.4464,0.0484,0.7929
,ablation,PolyRidge(d=2),poly_operating,,,,,,,,,0.9592,1.256,0.9863,0.8338,10.0913,0.0509,1.0252
,ablation,PolyRidge(d=3),poly_operating,,,,,,,,,0.7326,1.0213,0.991,0.5785,9.213,0.0485,0.8118
,ablation,PolyRidge(d=4),poly_operating,,,,,,,,,0.6194,0.8923,0.9931,0.4257,7.2385,0.0371,0.6861
,ablation,PolyRidge(d=5),poly_operating,,,,,,,,,0.5633,0.8091,0.9943,0.3858,5.0915,0.0344,0.6193
,classification,P1_Twin (team),physics_rule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
,regression,P2_Regressor (team),team_model,,,,,,,,,0.4687,0.6682,0.9961,0.3409,4.7424,0.0491,0.5339
